Word
Gotye
King Charles III
Kim Il-sung
Clovis I
Napoleon III
Max Weber
Leonhard Euler
Fiona Wood
Cameron Smith
Gary Ablett Jr.
Dustin Martin
Warwick Thornton
Geoffrey Gurrumul Yunupingu
Alan Bond
Richard Flanagan
Patrick White
Patricia Piccinini
Pol Pot
Jackson Pollock
Le Corbusier
Valentina Tereshkova
Nikola Tesla
Guglielmo Marconi
George Soros
Henry Clay Frick
Stephen Girard
Marie Stopes
Dian Fossey
Wangari Maathai
Empress Wu Zetian
Mona Hatoum
Wangechi Mutu
Njideka Akunyili Crosby
Ragnar Lodbrok
Umar ibn al-Khattab
Giordano Bruno
Marcus Aurelius
Nebuchadnezzar II
Democritus
Rosalind Franklin
Mencius
Tony Abbott
Malcolm Turnbull
Peter Dutton
Rolf Harris
Jane Campion
Poh Ling Yeow
Clive Robertson
Arthur Phillip
Charles Bean
Frank Gehry
Jack Ma
Carlos Slim
Bernard Arnault
Amancio Ortega
Larry Ellison
Charles Koch
David Koch
Saladin
Constantine the Great
Charles V
Martin Van Buren
Caligula
Franz Joseph I of Austria
Francisco Franco
Nikita Khrushchev
Averroes
Enrico Fermi
Sachin Tendulkar
Georg W. F. Hegel
Justinian I
Henrik Ibsen
Heraclitus
Empress Elisabeth of Austria
Herodotus
Pontius Pilate
Mary I of England
William Wallace
Erwin Rommel
Kublai Khan
Pope Benedict XVI
Anne Boleyn
James Cook
Paul the Apostle
Sophocles
Maria Theresa
Maria Montessori
Michael Schumacher
Vasco da Gama
Adam Smith
Carl Linnaeus
Nostradamus
Vlad the Impaler
Omar Khayyam
Pocahontas
Ivan the Terrible
Frederick the Great
John Howard
Shane Warne
Paul Keating
Julia Gillard
Bob Hawke
Geoffrey Rush
Kevin Rudd
Ash Barty
Adam Goodes
Paul Kelly
Fred Hollows
Gina Rinehart
Tim Minchin
Peter Garrett
Rupert Murdoch
Nick Cave
Gough Whitlam
Pat Rafter
Robert Menzies
Daniel Johns
Ita Buttrose
Grace Tame
Andrew Forrest
Martin Luther King Jr.
Winston Churchill
Steven Spielberg
Marie Curie
Charles Darwin
Isaac Newton
Vincent van Gogh
Pablo Picasso
George Orwell
Jane Austen
Julius Caesar
Napoleon Bonaparte
Cleopatra
Mahatma Gandhi
Tiger Woods
Serena Williams
Quentin Tarantino
Xi Jinping
Justin Trudeau
Volodymyr Zelenskyy
Stephen Hawking
Anthony Albanese
Penny Wong
Ricky Ponting
Adam Gilchrist
Glenn McGrath
Susie O'Neill
Grant Hackett
Cadel Evans
Ellyse Perry
Dylan Alcott
Kurt Fearnley
Mark Webber
Peter Brock
Andrew Johns
Johnathan Thurston
Greg Inglis
Lance Franklin
Chris Judd
Wayne Carey
Tony Lockett
Guy Pearce
David Wenham
Ben Mendelsohn
Joel Edgerton
Toni Collette
Powderfinger
Silverchair
Tame Impala
Courtney Barnett
Bert Newton
Graham Kennedy
Don Lane
Kerry O'Brien
Leigh Sales
Waleed Aly
Carrie Bickmore
Karl Stefanovic
Lisa Wilkinson
Shaun Micallef
Adam Hills
Wil Anderson
Judith Lucy
Hannah Gadsby
Anh Do
Jane Turner
Gina Riley
Rob Sitch
The Chaser (team)
Peter Weir
Eddie Mabo
Neville Bonner
Adam Briggs
Archie Roach
Christine Anu
Noel Pearson
Marcia Langton
Stan Grant
James Packer
Lindsay Fox
Kerry Stokes
Clive Palmer
Dick Smith
John Bertrand
